character,thumbnail_url
Daniel Kahnwald,https://vignette.wikia.nocookie.net/dark-netflix/images/1/13/Daniel_Kahnwald_on_construction_site.png/revision/latest/scale-to-width-down/350?cb=20181104232100
Hannah Kahnwald,https://vignette.wikia.nocookie.net/dark-netflix/images/0/0d/Hannah.png/revision/latest/scale-to-width-down/350?cb=20171207020113
Ines Kahnwald,https://vignette.wikia.nocookie.net/dark-netflix/images/7/7b/1x10_0018_Ines.jpg/revision/latest/scale-to-width-down/350?cb=20190814212727
Michael Kahnwald,https://vignette.wikia.nocookie.net/dark-netflix/images/7/7d/Mikkel_2019.png/revision/latest/scale-to-width-down/350?cb=20200629032254
Sebastian Krüger,https://vignette.wikia.nocookie.net/dark-netflix/images/c/ce/Sebastian_Kr%C3%BCger_01.png/revision/latest/scale-to-width-down/350?cb=20190724014630
Agnes Nielsen,https://vignette.wikia.nocookie.net/dark-netflix/images/5/57/Profile_-_Agnes.jpg/revision/latest/scale-to-width-down/350?cb=20180113194901
Katharina Nielsen,https://vignette.wikia.nocookie.net/dark-netflix/images/6/6c/Portal_%E2%80%93_Katharina.jpg/revision/latest/scale-to-width-down/350?cb=20171203142251
Magnus Nielsen,https://vignette.wikia.nocookie.net/dark-netflix/images/5/58/Magnus.png/revision/latest/scale-to-width-down/350?cb=20171226012232
Mikkel Nielsen,https://vignette.wikia.nocookie.net/dark-netflix/images/7/7d/Mikkel_2019.png/revision/latest/scale-to-width-down/350?cb=20200629032254
Tronte Nielsen,https://vignette.wikia.nocookie.net/dark-netflix/images/3/38/Profile_-_Tronte_2019.JPG/revision/latest/scale-to-width-down/350?cb=20180101130644
Ulrich Nielsen,https://vignette.wikia.nocookie.net/dark-netflix/images/c/c6/Profile_-_Ulrich_2019.jpg/revision/latest/scale-to-width-down/350?cb=20171226151948
Mads Nielsen,https://vignette.wikia.nocookie.net/dark-netflix/images/4/46/Mads_1986.jpg/revision/latest?cb=20180110100230
Bernd Doppler,https://vignette.wikia.nocookie.net/dark-netflix/images/2/24/Profile_-_Bernd_1986.JPG/revision/latest/scale-to-width-down/350?cb=20180113195921
Charlotte Doppler,https://vignette.wikia.nocookie.net/dark-netflix/images/3/3a/Portal_%E2%80%93_Charlotte.jpg/revision/latest/scale-to-width-down/350?cb=20171203150640
Elisabeth Doppler,https://vignette.wikia.nocookie.net/dark-netflix/images/c/cf/Elisabeth_Doppler.jpg/revision/latest/scale-to-width-down/350?cb=20180114151126
Franziska Doppler,https://vignette.wikia.nocookie.net/dark-netflix/images/5/56/Franziska_2019.png/revision/latest/scale-to-width-down/350?cb=20200629220136
Greta Doppler,https://vignette.wikia.nocookie.net/dark-netflix/images/4/43/Profile_-_Greta.JPG/revision/latest/scale-to-width-down/350?cb=20180120102252
Helge Doppler,https://vignette.wikia.nocookie.net/dark-netflix/images/a/a3/Helge2019.png/revision/latest?cb=20180115004059
Peter Doppler,https://vignette.wikia.nocookie.net/dark-netflix/images/5/57/Dark_1x01_-_Peter_Doppler.jpg/revision/latest/scale-to-width-down/350?cb=20171207002215
Erik Obendorf,https://vignette.wikia.nocookie.net/dark-netflix/images/4/43/Erik_Obendorf_Missing_Poster.jpg/revision/latest?cb=20171113012631
Silja Tiedemann,https://vignette.wikia.nocookie.net/dark-netflix/images/0/08/Silija.jpg/revision/latest/scale-to-width-down/350?cb=20190624183655
H.G. Tannhaus,https://vignette.wikia.nocookie.net/dark-netflix/images/4/42/Hgtannhaus.png/revision/latest/scale-to-width-down/350?cb=20180114162827
The Unknown,https://vignette.wikia.nocookie.net/dark-netflix/images/3/38/The_Unknown_%28Young%29.jpg/revision/latest/scale-to-width-down/350?cb=20200628201604
Aleksander Tiedemann,https://vignette.wikia.nocookie.net/dark-netflix/images/1/11/Aleksander_2019.png/revision/latest/scale-to-width-down/350?cb=20200629192348
Bartosz Tiedemann,https://vignette.wikia.nocookie.net/dark-netflix/images/8/8a/Bartosz.png/revision/latest/scale-to-width-down/350?cb=20171226012938
Claudia Tiedemann,https://vignette.wikia.nocookie.net/dark-netflix/images/1/18/Claudia_2019.png/revision/latest/scale-to-width-down/350?cb=20200629193350
Doris Tiedemann,https://vignette.wikia.nocookie.net/dark-netflix/images/6/65/Doris.tiedemann.png/revision/latest?cb=20180101005417
Egon Tiedemann,https://vignette.wikia.nocookie.net/dark-netflix/images/c/c4/Egon_1986.png/revision/latest/scale-to-width-down/350?cb=20200629215452
Regina Tiedemann,https://vignette.wikia.nocookie.net/dark-netflix/images/c/c3/Regina_2019.png/revision/latest/scale-to-width-down/350?cb=20200629192734
Jonas Kahnwald,https://vignette.wikia.nocookie.net/dark-netflix/images/6/64/Profile_-_Jonas_2019.jpg/revision/latest/scale-to-width-down/350?cb=20171226150453
Hanno Tauber,https://vignette.wikia.nocookie.net/dark-netflix/images/4/4e/Portal_%E2%80%93_Noah.jpg/revision/latest/scale-to-width-down/350?cb=20171203223020
Martha Nielsen,https://vignette.wikia.nocookie.net/dark-netflix/images/6/65/Profile_-_Martha.JPG/revision/latest/scale-to-width-down/350?cb=20180113201515
